time,watts
2016-01-01T06:31:41,0
2016-01-01T09:14:53,45
2016-01-01T09:19:41,0
2016-01-01T09:24:44,45
2016-01-01T09:56:34,0
2016-01-01T10:28:09,45
2016-01-01T10:28:11,0
2016-01-01T10:50:44,45
2016-01-01T11:07:24,0
2016-01-01T11:36:46,45
2016-01-01T11:46:50,0
2016-01-01T12:12:17,45
2016-01-01T12:16:00,0
2016-01-01T12:34:15,45
2016-01-01T12:57:32,0
2016-01-01T13:54:03,45
2016-01-01T16:15:36,0
2016-01-01T16:21:33,45
2016-01-01T16:59:04,0
2016-01-01T17:32:35,45
2016-01-01T17:45:48,0
2016-01-01T17:51:45,45
2016-01-01T18:12:58,0
2016-01-01T18:37:20,45
2016-01-01T18:55:52,0
2016-01-01T19:22:10,45
2016-01-01T19:29:20,0
2016-01-01T19:35:02,45
2016-01-01T19:59:00,0
2016-01-02T11:10:16,45
2016-01-02T11:35:11,0
2016-01-02T11:46:01,45
2016-01-02T11:54:30,0
2016-01-02T12:56:40,45
2016-01-02T12:59:41,0
2016-01-02T13:37:13,45
2016-01-02T14:00:17,0
2016-01-02T15:05:50,45
2016-01-02T15:19:50,0
2016-01-02T17:41:19,45
2016-01-02T18:16:35,0
2016-01-03T10:12:18,45
2016-01-03T10:16:37,0
2016-01-03T10:34:10,45
2016-01-03T11:00:16,0
2016-01-04T08:47:37,45
2016-01-04T08:50:38,0
2016-01-04T09:07:05,45
2016-01-04T09:07:15,0
2016-01-04T10:20:29,45
2016-01-04T10:23:23,0
2016-01-04T12:05:38,45
2016-01-04T12:20:18,0
2016-01-04T13:12:59,45
2016-01-04T13:17:52,0
2016-01-04T13:20:38,45
2016-01-04T13:33:16,0
2016-01-04T14:13:30,45
2016-01-04T14:34:40,0
2016-01-04T14:34:53,45
2016-01-04T15:08:10,0
2016-01-04T15:17:13,45
2016-01-04T15:23:09,0
2016-01-04T16:45:06,45
2016-01-04T17:15:14,0
2016-01-04T18:59:53,45
2016-01-04T19:28:57,0
2016-01-05T08:34:51,45
2016-01-05T08:35:16,0
2016-01-05T09:08:46,45
2016-01-05T09:40:34,0
2016-01-05T10:06:25,45
2016-01-05T10:35:49,0
2016-01-05T10:50:35,45
2016-01-05T11:09:03,0
2016-01-05T11:10:52,45
2016-01-05T11:38:40,0
2016-01-05T14:33:06,45
2016-01-05T14:47:21,0
2016-01-05T14:56:28,45
2016-01-05T14:57:59,0
2016-01-05T15:04:55,45
2016-01-05T15:45:52,0
2016-01-05T15:57:03,45
2016-01-05T16:04:46,0
2016-01-05T16:29:41,45
2016-01-05T17:26:55,0
2016-01-05T17:45:12,45
2016-01-05T17:58:06,0
2016-01-05T19:01:23,45
2016-01-05T19:36:14,0
